RestaurantID,RestaurantName,CountryCode,City,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,USD($),Price_Range2,Rating,Year Opening,Month Opening,Day Opening,Date
53,Amber,1,New Delhi,"North Indian, Chinese, Mughlai",Indian Rupees(Rs.),Yes,Yes,No,No,3,152,1800,21.6,0-100,2.6,2013,1,2,02-01-2013
55,Berco's,1,New Delhi,"Chinese, Thai",Indian Rupees(Rs.),Yes,Yes,No,No,3,2639,1100,13.2,0-100,3.9,2016,2,16,16-02-2016
60,Colonel's Kababz,1,New Delhi,"North Indian, Mughlai",Indian Rupees(Rs.),Yes,No,No,No,2,600,900,10.8,0-100,3.2,2012,9,4,04-09-2012
64,Diva - The Italian Restaurant,1,New Delhi,Italian,Indian Rupees(Rs.),Yes,Yes,No,No,4,372,2500,30,0-100,3.8,2010,6,25,25-06-2010
65,Drums of Heaven,1,New Delhi,"Chinese, Seafood, Thai",Indian Rupees(Rs.),Yes,Yes,No,No,3,234,1800,21.6,0-100,3.5,2011,4,22,22-04-2011
66,Embassy,1,New Delhi,"North Indian, Continental, European",Indian Rupees(Rs.),Yes,Yes,No,No,4,706,2000,24,0-100,3.5,2018,4,2,02-04-2018
67,Fa Yian,1,New Delhi,Chinese,Indian Rupees(Rs.),Yes,No,No,No,3,412,1200,14.4,0-100,4,2013,1,25,25-01-2013
69,Chungwa,1,New Delhi,"Chinese, Thai, Seafood",Indian Rupees(Rs.),Yes,Yes,No,No,3,489,1100,13.2,0-100,3.3,2017,11,4,04-11-2017
73,Ichiban,1,New Delhi,"Chinese, Thai, Japanese",Indian Rupees(Rs.),Yes,Yes,No,No,3,768,1200,14.4,0-100,3.9,2010,11,12,12-11-2010
89,Naivedyam,1,New Delhi,South Indian,Indian Rupees(Rs.),No,Yes,No,No,2,1627,500,6,0-100,4.2,2016,9,6,06-09-2016
93,Princess Garden,1,New Delhi,"Chinese, North Indian",Indian Rupees(Rs.),Yes,No,No,No,3,31,1200,14.4,0-100,2.7,2014,12,25,25-12-2014
103,Veg Gulati,1,New Delhi,North Indian,Indian Rupees(Rs.),No,Yes,No,No,3,600,1200,14.4,0-100,3.8,2015,12,6,06-12-2015
104,Woks - The Lalit New Delhi,1,New Delhi,"Chinese, Seafood",Indian Rupees(Rs.),Yes,No,No,No,4,62,4500,54,0-100,3.6,2018,5,26,26-05-2018
112,Lotus Pond,1,New Delhi,"Chinese, Seafood, Asian",Indian Rupees(Rs.),Yes,Yes,No,No,3,391,1800,21.6,0-100,4.2,2014,5,24,24-05-2014
131,Chopsticks,1,New Delhi,"Chinese, Thai",Indian Rupees(Rs.),Yes,Yes,No,No,3,350,1700,20.4,0-100,3.6,2018,3,16,16-03-2018
134,Moti Mahal Delux,1,New Delhi,"North Indian, Mughlai, Chinese",Indian Rupees(Rs.),Yes,Yes,No,No,3,130,1000,12,0-100,3.8,2017,10,28,28-10-2017
143,Domino's Pizza,1,New Delhi,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,No,2,336,700,8.4,0-100,3.7,2017,5,14,14-05-2017
147,Subway,1,New Delhi,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,Yes,No,No,2,115,500,6,0-100,2.5,2015,10,11,11-10-2015
148,Subway,1,New Delhi,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,No,No,No,2,142,500,6,0-100,3.6,2017,8,21,21-08-2017
